systemName;region;route;numWaypoints;midCoords;description;fileroot;(reserved)
boundaries;_boundaries;B0;37;(66.35,20.07);NOR/SWE;b.000;
boundaries;_boundaries;B1;11;(67.30,23.24);SWE/FIN;b.001;
boundaries;_boundaries;B2;24;(64.51,29.85);FIN/RUS;b.002;
boundaries;_boundaries;B3;45;(39.97,-7.26);PRT/ESP;b.003;
boundaries;_boundaries;B4;20;(42.73,0.80);ESP/FRA;b.004;
boundaries;_boundaries;B5;7;(49.78,6.38);LUX/DEU;b.005;
boundaries;_boundaries;B6;28;(51.84,6.49);DEU/NLD,BEL;b.006;
boundaries;_boundaries;B7;21;(50.13,4.52);BEL/FRA,LUX;b.007;
boundaries;_boundaries;B8;15;(51.17,5.02);BEL/NLD;b.008;
boundaries;_boundaries;B9;53;(47.15,7.01);FRA/ITA,CHE,DEU,LUX;b.009;
boundaries;_boundaries;B10;35;(46.78,9.03);CHE/ITA,AUT,LIE,DEU;b.010;
boundaries;_boundaries;B11;65;(50.04,13.24);DEU/AUT,CZE,POL;b.011;
boundaries;_boundaries;B12;38;(47.57,14.82);AUT/ITA,SVN,HUN,SVK,CZE;b.012;
boundaries;_boundaries;B13;69;(50.99,20.29);POL/CZE,SVK,UKR,BLR,LTU,RUS;b.013;
boundaries;_boundaries;B14;34;(47.01,26.71);ROU/UKR,MDA;b.014;
boundaries;_boundaries;B15;35;(44.44,23.82);ROU/SRB,BGR;b.015;
boundaries;_boundaries;B16;19;(41.29,20.30);ALB/MNE,KOS,MKD,GRC;b.016;
boundaries;_boundaries;B17;31;(39.97,45.30);TUR,IRN/GEO,ARM,AZE;b.017;
boundaries;_boundaries;B18;27;(36.74,38.84);TUR/SYR;b.018;
boundaries;_boundaries;B19;13;(13.86,44.94);?part of YEM;b.019;
boundaries;_boundaries;B20;75;(32.01,36.75);ISR,JOR,LEB/EGY,IRQ,SYR;b.020;
boundaries;_boundaries;B21;40;(31.40,35.12);ISR/JOR,PSE,LBN;b.021;
boundaries;_boundaries;B22;61;(32.67,60.29);IRN/TKM,AFG,PAK;b.022;
boundaries;_boundaries;B23;37;(34.90,45.93);IRQ,TUR/IRN;b.023;
boundaries;_boundaries;B24;33;(33.23,43.44);IRQ/SAU,JOR,SYR,TUR;b.024;
boundaries;_boundaries;B25;26;(41.48,24.69);GRC/BGR,MKD;b.025;
boundaries;_boundaries;B26;13;(41.54,26.73);BGR,GRC/TUR;b.026;
boundaries;_boundaries;B27;38;(46.55,19.30);HUN/SVN,HRV,SRB,ROU,UKR;b.027;
boundaries;_boundaries;B28;38;(48.63,18.87);SVK/CZE,AUT,HUN,UKR;b.028;
boundaries;_boundaries;B29;29;(45.82,15.15);SVN/HRV;b.029;
boundaries;_boundaries;B30;80;(34.87,68.58);AFG/PAK,CHN,TJK,UZB,TKM;b.030;
boundaries;_boundaries;B31;52;(29.41,72.58);PAK/IND;b.031;
boundaries;_boundaries;B32;56;(24.24,90.32);BGD/IND,MMR;b.032;
boundaries;_boundaries;B33;21;(28.88,84.59);NPL/CHN;b.033;
boundaries;_boundaries;B34;85;(20.15,98.96);MMR/THA,LAO,CHN;b.034;
boundaries;_boundaries;B35;77;(16.61,102.98);THA/KHM,LAO;b.035;
boundaries;_boundaries;B36;85;(47.31,128.18);CHN/RUS,PRK;b.036;
boundaries;_boundaries;B37;129;(47.63,104.04);MNG/CHN,RUS;b.037;
boundaries;_boundaries;B38;29;(2.36,113.86);BRN/IDN;b.038;
boundaries;_boundaries;B39;51;(12.92,106.40);KHM/LAO,VNM;b.039;
boundaries;_boundaries;B40;94;(20.20,105.04);VNM/LAO,CHN;b.040;
boundaries;_boundaries;B41;137;(28.78,87.31);CHN,THA/PAK,IND;b.041;
boundaries;_boundaries;B42;58;(54.87,9.21);DNK/DEU;b.042;
boundaries;_boundaries;B43;33;(44.73,17.62);HRV/BIH,SRB;b.043;
boundaries;_boundaries;B44;19;(42.19,21.50);SRB/MKD;b.044;
boundaries;_boundaries;B45;38;(43.81,19.03);BIH/MNE,SRB;b.045;
boundaries;_boundaries;B46;51;(56.39,25.49);LVA/BLR,RUS;b.046;
boundaries;_boundaries;B47;38;(54.58,25.63);LTU/BLR;b.047;
boundaries;_boundaries;B48;18;(54.97,22.08);LTU/RUS;b.048;
boundaries;_boundaries;B49;39;(58.10,26.66);EST/RUS,LVA;b.049;
boundaries;_boundaries;B50;131;(53.03,29.53);BLR/RUS,UKR;b.050;
boundaries;_boundaries;B51;64;(49.63,37.31);UKR/RUS;b.051;
boundaries;_boundaries;B52;103;(47.22,28.72);MDA/UKR;b.052;
boundaries;_boundaries;B53;248;(50.99,63.76);KAZ/RUS;b.053;
boundaries;_boundaries;B54;103;(39.87,46.84);subr of AZE;b.054;
boundaries;_boundaries;B55;100;(41.80,73.31);KGZ/KAZ;b.055;
boundaries;_boundaries;B56;72;(42.83,43.52);GEO/RUS;b.056;
boundaries;_boundaries;B57;52;(42.74,64.45);UZB/KAZ;b.057;
boundaries;_boundaries;B58;66;(40.90,59.57);UZB/TKM;b.058;
boundaries;_boundaries;B59;113;(39.68,69.79);TJK/UZB,KGZ;b.059;
boundaries;_boundaries;B60;71;(41.44,46.80);AZE/GEO,RUS;b.060;
boundaries;_boundaries;B61;66;(39.41,45.66);AZE/ARM;b.061;
boundaries;_boundaries;B62;19;(40.63,45.54);ARM/AZE;b.062;
boundaries;_boundaries;B63;14;(41.05,45.02);ARM/AZE;b.063;
